# of Objects	Object	Ore	Ingot	Nugget	Compressed Block	Catalyst	Deprecated 1	Deprecated 2	Compound Small	Compound Medium	Compound Large	Compound Industrial	Compound Small(2)	Compound Medium(2)	Compound Large(2)	Compound Industrial(2)	Element Small	Element Medium	Element Large	Element Industrial	Bag (Pellets)	Sack (Pellets)	Powder Keg (Pellets)	Chemical Silo (Pellets)	Polymer Block	Polymer Slab	Polymer Stairs	Brick	Mold	Molded Item	Mask	Wafer	Electronics	DNA Sampler	Cell Culture Dish	Polycraft Headgear	Polycraft Chest	Polycraft Leggings	Polycraft Feet	Polycraft Hoe	Polycraft Spade	Polycraft Pickaxe	Polycraft Axe	Polycraft Sword	Inventory	Gripped Tool	Pogo Stick	Custom Object	Internal Object	Minecraft Item	Minecraft Block
4592	Object	Magnesium Ore	Magnesium Ingot	Magnesium Nugget	Block of Magnesium	Platinum Catalyst	Bag (PolyIsoPrene Pellets)	Vial (Crude Oil)	Flask (1,1,1,2-Tetrafluoroethane)	Cartridge (1,1,1,2-Tetrafluoroethane)	Canister (1,1,1,2-Tetrafluoroethane)	Chemical Tank (1,1,1,2-Tetrafluoroethane)	Vial (Antifreeze)	Beaker (Antifreeze)	Drum (Antifreeze)	Chemical Vat (Antifreeze)	Flask (Hydrogen)	Cartridge (Hydrogen)	Canister (Hydrogen)	Chemical Tank (Hydrogen)	Vial (Acrylic-Formaldehyde Resin)	Beaker (Acrylic-Formaldehyde Resin)	Drum (Acrylic-Formaldehyde Resin)	Chemical Vat (Acrylic-Formaldehyde Resin)	Block (AF Resin)	Slab (AF Resin)	Stairs (AF Resin)	ABS Brick (1 x 1)	Mold (Grip)	Grip (Natural Rubber)	Mask (Solar Cell)(PR Backplane)	Silicon Wafer	Solar Cell	DNA Sampler (Pig)	Cell Culture Dish (Pig)	Rubber Shower Cap	Rubber Shirt	Rubber Wading Pants	Rubber Booties	Composite Steel Hoe	Composite Steel Spade	Composite Steel Pickaxe	Composite Steel Axe	Composite Steel Sword	Tree Tap	Gripped Iron Shovel	Wooden Pogo Stick	Metal Screw	Oil	Iron Shovel	Air
		0	0		0	0	0	Beaker (Sweet Light Naphtha)	Vial (Dimethyl Sulfoxide)	Beaker (Dimethyl Sulfoxide)	Drum (Dimethyl Sulfoxide)	Chemical Vat (Dimethyl Sulfoxide)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fibers (SIS)	0	0	0			 									0	0	0	0		Ender Eye	Double Wooden Slab
		0	0		0	0	0	Drum (Sweet Light Naphtha)	Vial (Dimethyl Terephthalate)	Beaker (Dimethyl Terephthalate)	Drum (Dimethyl Terephthalate)	Chemical Vat (Dimethyl Terephthalate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fibers (SMAC)	0	0	0			 									0	0	0	0		Speckled Melon	Wooden Slab
		0	0		0	0	0	Vial (Mercaptans)	Vial (Dioxane)	Beaker (Dioxane)	Drum (Dioxane)	Chemical Vat (Dioxane)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fibers (UHMWPE)	0	0	0			 									0	0	0	0		Spawn Egg	Cocoa
		0	0		0	0	0	Beaker (Mercaptans)	Vial (Disodium Phosphate)	Beaker (Disodium Phosphate)	Drum (Disodium Phosphate)	Chemical Vat (Disodium Phosphate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fibers (UFP)	0	0	0			 									0	0	0	0		Experience Bottle	Sandstone Stairs
		0	0		0	0	0	Drum (Mercaptans)	Vial (EDC)	Beaker (EDC)	Drum (EDC)	Chemical Vat (EDC)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fibers (VLDPE)	0	0	0			 									0	0	0	0		Fire Charge	Emerald Ore
		0	0		0	0	0	Flask (Ammonia)	Vial (e-Mercaptan)	Beaker (e-Mercaptan)	Drum (e-Mercaptan)	Chemical Vat (e-Mercaptan)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fibers (VA/AA)	0	0	0			 									0	0	0	0		Writable Book	Ender Chest
		0	0		0	0	0	Cartridge (Ammonia)	Flask (Ethane)	Cartridge (Ethane)	Canister (Ethane)	Chemical Tank (Ethane)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fibers (Nylon 6)	0	0	0			 									0	0	0	0		Written Book	Tripwire Hook
		0	0		0	0	0	Canister (Ammonia)	Vial (Ethanol)	Beaker (Ethanol)	Drum (Ethanol)	Chemical Vat (Ethanol)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Battery Case (SAN)	0	0	0			 									0	0	0	0		Emerald	Tripwire
		0	0		0	0	0	Bag (Sodium Hydroxide)	Vial (Ethanol/Ethyl Alcohol)	Beaker (Ethanol/Ethyl Alcohol)	Drum (Ethanol/Ethyl Alcohol)	Chemical Vat (Ethanol/Ethyl Alcohol)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Running Shoes (Runner)	0	0	0			 									0	0	0	0		Item Frame	Emerald Block
		0	0		0	0	0	Sack (Sodium Hydroxide)	Vial (Ether)	Beaker (Ether)	Drum (Ether)	Chemical Vat (Ether)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Scuba Fins (Intermediate)	0	0	0			 									0	0	0	0		Flower Pot	Spruce Stairs
		0	0		0	0	0	Powder Keg (Sodium Hydroxide)	Vial (Ethylbenzene)	Beaker (Ethylbenzene)	Drum (Ethylbenzene)	Chemical Vat (Ethylbenzene)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Scuba Fins (Advanced)	0	0	0			 									0	0	0	0		Carrot	Birch Stairs
		0	0		0	0	0	0	Flask (Ethylene)	Cartridge (Ethylene)	Canister (Ethylene)	Chemical Tank (Ethylene)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Scuba Fins (Pro)	0	0	0			 									0	0	0	0		Potato	Jungle Stairs
		0	0		0	0	0	0	Vial (Ethylene Carbonate)	Beaker (Ethylene Carbonate)	Drum (Ethylene Carbonate)	Chemical Vat (Ethylene Carbonate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Scuba Mask (Intermediate)	0	0	0			 									0	0	0	0		Baked Potato	Command Block
		0	0		0	0	0	0	Vial (Ethylene Glycol)	Beaker (Ethylene Glycol)	Drum (Ethylene Glycol)	Chemical Vat (Ethylene Glycol)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Scuba Mask (Advanced)	0	0	0			 									0	0	0	0		Poisonous Potato	Beacon
		0	0		0	0	0	0	Vial (Ethylene Oxide)	Beaker (Ethylene Oxide)	Drum (Ethylene Oxide)	Chemical Vat (Ethylene Oxide)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Scuba Mask (Pro)	0	0	0			 									0	0	0	0		Map	Cobblestone Wall
		0	0		0	0	0	0	Vial (Ethylidene Diacetate)	Beaker (Ethylidene Diacetate)	Drum (Ethylidene Diacetate)	Chemical Vat (Ethylidene Diacetate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gasket (Medium Pressure)	0	0	0			 									0	0	0	0		Golden Carrot	Flower Pot
		0	0		0	0	0	0	Vial (Eugenol)	Beaker (Eugenol)	Drum (Eugenol)	Chemical Vat (Eugenol)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gasket (High Pressure)	0	0	0			 									0	0	0	0		Skull	Carrots
		0	0		0	0	0	0	Vial (Ferric Chloride)	Beaker (Ferric Chloride)	Drum (Ferric Chloride)	Chemical Vat (Ferric Chloride)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gasket (Extreme Pressure)	0	0	0			 									0	0	0	0		Carrot On A Stick	Potatoes
		0	0		0	0	0	0	Vial (Ferric Oxide (Iron III Oxide))	Beaker (Ferric Oxide (Iron III Oxide))	Drum (Ferric Oxide (Iron III Oxide))	Chemical Vat (Ferric Oxide (Iron III Oxide))	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hose (Medium Pressure)	0	0	0			 									0	0	0	0		Nether Star	Wooden Button
		0	0		0	0	0	0	Vial (Ferrous Ferric Oxide (Iron II-III Oxide))	Beaker (Ferrous Ferric Oxide (Iron II-III Oxide))	Drum (Ferrous Ferric Oxide (Iron II-III Oxide))	Chemical Vat (Ferrous Ferric Oxide (Iron II-III Oxide))	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hose (High Pressure)	0	0	0			 									0	0	0	0		Pumpkin Pie	Skull
		0	0		0	0	0	0	Vial (Formaldehyde)	Beaker (Formaldehyde)	Drum (Formaldehyde)	Chemical Vat (Formaldehyde)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hose (Extreme Pressure)	0	0	0			 									0	0	0	0		Fireworks	Anvil
		0	0		0	0	0	0	Vial (Formic Acid)	Beaker (Formic Acid)	Drum (Formic Acid)	Chemical Vat (Formic Acid)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Tool Shaft (PEEK)	0	0	0			 									0	0	0	0		Firework Charge	Trapped Chest
		0	0		0	0	0	0	Vial (Fructose)	Beaker (Fructose)	Drum (Fructose)	Chemical Vat (Fructose)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Tool Shaft (Carbon Fiber Composite)	0	0	0			 									0	0	0	0		Enchanted Book	Light Weighted Pressure Plate
		0	0		0	0	0	0	Vial (Fruit Brandy)	Beaker (Fruit Brandy)	Drum (Fruit Brandy)	Chemical Vat (Fruit Brandy)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Lighter Body (LDPE)	0	0	0			 									0	0	0	0		Comparator	Heavy Weighted Pressure Plate
		0	0		0	0	0	0	Vial (Gas Oil)	Beaker (Gas Oil)	Drum (Gas Oil)	Chemical Vat (Gas Oil)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cell Phone Case (SAN)	0	0	0			 									0	0	0	0		Netherbrick	Unpowered Comparator
		0	0		0	0	0	0	Vial (Gin)	Beaker (Gin)	Drum (Gin)	Chemical Vat (Gin)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Walky Talky Case (SAN)	0	0	0			 									0	0	0	0		Quartz	Powered Comparator
		0	0		0	0	0	0	Vial (Glucose)	Beaker (Glucose)	Drum (Glucose)	Chemical Vat (Glucose)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HAM Radio Case (SAN)	0	0	0			 									0	0	0	0		Tnt Minecart	Daylight Detector
		0	0		0	0	0	0	Vial (Glycerol)	Beaker (Glycerol)	Drum (Glycerol)	Chemical Vat (Glycerol)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Air Quality Detector Case (PS)	0	0	0			 									0	0	0	0		Hopper Minecart	Redstone Block
		0	0		0	0	0	0	Vial (Glycolic Acid)	Beaker (Glycolic Acid)	Drum (Glycolic Acid)	Chemical Vat (Glycolic Acid)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 '[2]Molded Items'!#REF!	0	0	0			 									0	0	0	0		0	Quartz Ore
		0	0		0	0	0	0	Vial (Gum Arabic)	Beaker (Gum Arabic)	Drum (Gum Arabic)	Chemical Vat (Gum Arabic)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 '[2]Molded Items'!#REF!	0	0	0			 									0	0	0	0		0	Hopper
		0	0		0	0	0	0	Vial (Heavy Naphtha)	Beaker (Heavy Naphtha)	Drum (Heavy Naphtha)	Chemical Vat (Heavy Naphtha)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Grip (Synthetic Rubber)	0	0	0			 									0	0	0	0		0	Quartz Block
		0	0		0	0	0	0	Vial (Hexamine)	Beaker (Hexamine)	Drum (Hexamine)	Chemical Vat (Hexamine)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			 									0	0	0	0		0	Quartz Stairs
		0	0		0	0	0	0	Vial (Hexane Isomers)	Beaker (Hexane Isomers)	Drum (Hexane Isomers)	Chemical Vat (Hexane Isomers)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			 									0	0	0	0		0	Activator Rail
		0	0		0	0	0	0	Vial (High Octane Gasoline)	Beaker (High Octane Gasoline)	Drum (High Octane Gasoline)	Chemical Vat (High Octane Gasoline)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			 									0	0	0	0		0	Dropper
		0	0		0	0	0	0	Vial (Hydrochloric Acid)	Beaker (Hydrochloric Acid)	Drum (Hydrochloric Acid)	Chemical Vat (Hydrochloric Acid)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			 									0	0	0	0		0	Stained Hardened Clay
		0	0		0	0	0	0	Vial (Hydrofluoric Acid)	Beaker (Hydrofluoric Acid)	Drum (Hydrofluoric Acid)	Chemical Vat (Hydrofluoric Acid)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			 									0	0	0	0		0	Stained Glass Pane
		0	0		0	0	0	0	Vial (Hydrogen Peroxide)	Beaker (Hydrogen Peroxide)	Drum (Hydrogen Peroxide)	Chemical Vat (Hydrogen Peroxide)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			 									0	0	0	0		Iron Horse Armor	Leaves2
		0	0		0	0	0	0	Vial (Hydroquinone)	Beaker (Hydroquinone)	Drum (Hydroquinone)	Chemical Vat (Hydroquinone)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			 									0	0	0	0		Golden Horse Armor	Log2
		0	0		0	0	0	0	Vial (Hypochlorous Acid)	Beaker (Hypochlorous Acid)	Drum (Hypochlorous Acid)	Chemical Vat (Hypochlorous Acid)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			 									0	0	0	0		Diamond Horse Armor	Acacia Stairs
		0	0		0	0	0	0	Bag (Iron III Chloride)	Sack (Iron III Chloride)	Powder Keg (Iron III Chloride)	Chemical Silo (Iron III Chloride)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			 									0	0	0	0		Lead	Dark Oak Stairs
		0	0		0	0	0	0	Bag (Iron III Oxide)	Sack (Iron III Oxide)	Powder Keg (Iron III Oxide)	Chemical Silo (Iron III Oxide)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			 									0	0	0	0		Name Tag	Slime
		0	0		0	0	0	0	Vial (Iron Sulfate)	Beaker (Iron Sulfate)	Drum (Iron Sulfate)	Chemical Vat (Iron Sulfate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			 									0	0	0	0		Command Block Minecart	Barrier
		0	0		0	0	0	0	Vial (IsoButane)	Beaker (IsoButane)	Drum (IsoButane)	Chemical Vat (IsoButane)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			 									0	0	0	0		0	Iron Trapdoor
		0	0		0	0	0	0	Vial (IsoPentane)	Beaker (IsoPentane)	Drum (IsoPentane)	Chemical Vat (IsoPentane)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			 									0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Isophthalic Acid)	Beaker (Isophthalic Acid)	Drum (Isophthalic Acid)	Chemical Vat (Isophthalic Acid)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			 									0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Kerosene)	Beaker (Kerosene)	Drum (Kerosene)	Chemical Vat (Kerosene)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			 									0	0	0	0		0	Hay Block
		0	0		0	0	0	0	Vial (Lactic Acid)	Beaker (Lactic Acid)	Drum (Lactic Acid)	Chemical Vat (Lactic Acid)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			 									0	0	0	0		0	Carpet
		0	0		0	0	0	0	Vial (Latex)	Beaker (Latex)	Drum (Latex)	Chemical Vat (Latex)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			 									0	0	0	0		0	Hardened Clay
		0	0		0	0	0	0	Vial (Lauryl Alcohol)	Beaker (Lauryl Alcohol)	Drum (Lauryl Alcohol)	Chemical Vat (Lauryl Alcohol)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			 									0	0	0	0		0	Coal Block
		0	0		0	0	0	0	Vial (Light Naphtha)	Beaker (Light Naphtha)	Drum (Light Naphtha)	Chemical Vat (Light Naphtha)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			 									0	0	0	0		0	Packed Ice
		0	0		0	0	0	0	Vial (Light Naphthenes)	Beaker (Light Naphthenes)	Drum (Light Naphthenes)	Chemical Vat (Light Naphthenes)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			 									0	0	0	0		0	Double Plant
		0	0		0	0	0	0	Vial (Light Olefins)	Beaker (Light Olefins)	Drum (Light Olefins)	Chemical Vat (Light Olefins)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			 									0	0	0	0		Record 13	0
		0	0		0	0	0	0	Vial (Light Parrafins)	Beaker (Light Parrafins)	Drum (Light Parrafins)	Chemical Vat (Light Parrafins)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			 									0	0	0	0		Record Cat	0
		0	0		0	0	0	0	Vial (Linseed Oil)	Beaker (Linseed Oil)	Drum (Linseed Oil)	Chemical Vat (Linseed Oil)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			 									0	0	0	0		Record Blocks	0
		0	0		0	0	0	0	Vial (Liquified Natural Gas)	Beaker (Liquified Natural Gas)	Drum (Liquified Natural Gas)	Chemical Vat (Liquified Natural Gas)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			 									0	0	0	0		Record Chirp	0
		0	0		0	0	0	0	Vial (Magnesium Carbonate)	Beaker (Magnesium Carbonate)	Drum (Magnesium Carbonate)	Chemical Vat (Magnesium Carbonate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			 									0	0	0	0		Record Far	0
		0	0		0	0	0	0	Vial (Magnesium Chloride)	Beaker (Magnesium Chloride)	Drum (Magnesium Chloride)	Chemical Vat (Magnesium Chloride)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			 									0	0	0	0		Record Mall	0
		0	0		0	0	0	0	Vial (Magnesium Hydroxide)	Beaker (Magnesium Hydroxide)	Drum (Magnesium Hydroxide)	Chemical Vat (Magnesium Hydroxide)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		Record Mellohi	0
		0	0		0	0	0	0	Vial (Magnesium Silicate)	Beaker (Magnesium Silicate)	Drum (Magnesium Silicate)	Chemical Vat (Magnesium Silicate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		Record Stal	0
		0	0		0	0	0	0	Vial (Magnesium Sulfate)	Beaker (Magnesium Sulfate)	Drum (Magnesium Sulfate)	Chemical Vat (Magnesium Sulfate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		Record Strad	0
		0	0		0	0	0	0	Bag (Magnesium Sulfate)	Sack (Magnesium Sulfate)	Powder Keg (Magnesium Sulfate)	Chemical Silo (Magnesium Sulfate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		Record Ward	0
		0	0		0	0	0	0	Vial (Manganese Dioxide)	Beaker (Manganese Dioxide)	Drum (Manganese Dioxide)	Chemical Vat (Manganese Dioxide)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		Record 11	0
		0	0		0	0	0	0	Vial (Melamine)	Beaker (Melamine)	Drum (Melamine)	Chemical Vat (Melamine)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		Record Wait	0
		0	0		0	0	0	0	Vial (Melamine Formaldehyde)	Beaker (Melamine Formaldehyde)	Drum (Melamine Formaldehyde)	Chemical Vat (Melamine Formaldehyde)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Mercaptans)	Beaker (Mercaptans)	Drum (Mercaptans)	Chemical Vat (Mercaptans)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Mercury (Liquid))	Beaker (Mercury (Liquid))	Drum (Mercury (Liquid))	Chemical Vat (Mercury (Liquid))	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		0	0
		0	0		0	0	0	0	Vial (m-Xylene)	Beaker (m-Xylene)	Drum (m-Xylene)	Chemical Vat (m-Xylene)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Methacrylic Acid)	Beaker (Methacrylic Acid)	Drum (Methacrylic Acid)	Chemical Vat (Methacrylic Acid)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		0	0
		0	0		0	0	0	0	Flask (Methane)	Cartridge (Methane)	Canister (Methane)	Chemical Tank (Methane)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Methanol)	Beaker (Methanol)	Drum (Methanol)	Chemical Vat (Methanol)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Methyl Ethyl Ketone)	Beaker (Methyl Ethyl Ketone)	Drum (Methyl Ethyl Ketone)	Chemical Vat (Methyl Ethyl Ketone)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Methyl Ethyl Ketone Peroxide)	Beaker (Methyl Ethyl Ketone Peroxide)	Drum (Methyl Ethyl Ketone Peroxide)	Chemical Vat (Methyl Ethyl Ketone Peroxide)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		0	0
		0	0		0	0	0	0	Bag (Methyl Ethyl Ketone Peroxide)	Sack (Methyl Ethyl Ketone Peroxide)	Powder Keg (Methyl Ethyl Ketone Peroxide)	Chemical Silo (Methyl Ethyl Ketone Peroxide)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Methyl Isobutyl Ketone)	Beaker (Methyl Isobutyl Ketone)	Drum (Methyl Isobutyl Ketone)	Chemical Vat (Methyl Isobutyl Ketone)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Methyl Methacrylate)	Beaker (Methyl Methacrylate)	Drum (Methyl Methacrylate)	Chemical Vat (Methyl Methacrylate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Methyl Salicylate)	Beaker (Methyl Salicylate)	Drum (Methyl Salicylate)	Chemical Vat (Methyl Salicylate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Methylene Blue)	Beaker (Methylene Blue)	Drum (Methylene Blue)	Chemical Vat (Methylene Blue)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Methylene Chloride)	Beaker (Methylene Chloride)	Drum (Methylene Chloride)	Chemical Vat (Methylene Chloride)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Mineral Oil)	Beaker (Mineral Oil)	Drum (Mineral Oil)	Chemical Vat (Mineral Oil)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		0	0
		0	0		0	0	0	0	Vial (m-Mercaptan)	Beaker (m-Mercaptan)	Drum (m-Mercaptan)	Chemical Vat (m-Mercaptan)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Molasses)	Beaker (Molasses)	Drum (Molasses)	Chemical Vat (Molasses)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Monosodium Glutamate)	Beaker (Monosodium Glutamate)	Drum (Monosodium Glutamate)	Chemical Vat (Monosodium Glutamate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Naphtha)	Beaker (Naphtha)	Drum (Naphtha)	Chemical Vat (Naphtha)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Naphthalene)	Beaker (Naphthalene)	Drum (Naphthalene)	Chemical Vat (Naphthalene)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		0	0
		0	0		0	0	0	0	Vial (Naphthalenedicarboxylic Acid)	Beaker (Naphthalenedicarboxylic Acid)	Drum (Naphthalenedicarboxylic Acid)	Chemical Vat (Naphthalenedicarboxylic Acid)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		0	0
		0	0		0	0	0	0	Flask (Natural Gas)	Cartridge (Natural Gas)	Canister (Natural Gas)	Chemical Tank (Natural Gas)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		0	0
		0	0		0	0	0	0	Vial (n-Butane)	Beaker (n-Butane)	Drum (n-Butane)	Chemical Vat (n-Butane)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		0	0
		0	0		0	0	0	0	Vial (n-Butyl Mercaptan)	Beaker (n-Butyl Mercaptan)	Drum (n-Butyl Mercaptan)	Chemical Vat (n-Butyl Mercaptan)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		0	0
		0	0		0	0	0	0	Vial (NeoPentane)	Beaker (NeoPentane)	Drum (NeoPentane)	Chemical Vat (NeoPentane)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		0	0
		0	0		0	0	0	0	Vial (N-Ethylidenecyclohexylamine)	Beaker (N-Ethylidenecyclohexylamine)	Drum (N-Ethylidenecyclohexylamine)	Chemical Vat (N-Ethylidenecyclohexylamine)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		0	0
		0	0		0	0	0	0	Vial (n-Hexane)	Beaker (n-Hexane)	Drum (n-Hexane)	Chemical Vat (n-Hexane)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				 									0	0	0	0		0	0
